node_ident,radius,max_busy,busy_50,busy_90,max_idle,idle_50,idle_90,tx_neigh_G,tx_neigh_G2,rx_neigh_G,rx_neigh_G2,num_of_cliques_tx,nodes_in_cliques_tx,num_of_cliques_rx,nodes_in_cliques_rx,succ_norm_all,tx_norm_all,output
24,80,113.88,1.07999999999993,14.5600000000001,3.40000000000009,0.0600000000004002,1.15999999999985,7,3,4,4,3,11,1,4,0.0602682788588702,0.0788837209302326,1
25,80,6.92000000000007,1,1.08000000000038,36.4200000000001,0.260000000000218,2.84000000000015,4,7,7,11,3,9,4,12,0.135839788399773,0.343441860465116,2
26,80,5.29999999999973,1,1,13.3600000000001,0.1200000000008,2.34000000000015,4,8,8,2,2,6,3,14,0,0.106976744186047,1
27,80,1.00000000000023,1,1,1.51999999999953,0.100000000000364,0.200000000000728,3,4,8,3,1,4,3,11,0,0.0197209302325581,1
28,80,7.69999999999982,1,2.05999999999995,12.1199999999999,0.179999999999836,2.29999999999927,5,10,7,10,3,10,4,12,0.385981484980162,0.530976744186046,2
29,80,8.68000000000029,1,1,41.54,0.180000000000007,2.39999999999964,4,2,4,2,2,7,1,4,0.735499716606839,0.817674418604651,3
30,80,1.00000000000023,1,1,7.89999999999964,0.239999999999782,2.32000000000016,3,4,4,4,1,4,1,4,0.672586434914037,0.768744186046512,3
1,80,1.00000000000003,1,1,8.5,0.199999999999818,1.64000000000033,3,5,8,3,1,4,3,11,0,0.0969545104086353,1
2,80,1,1,1,26.1599999999999,1.15999999999985,2.40000000000009,3,4,4,4,1,4,1,4,0.834636434714621,0.940053970701619,3
3,80,11.4399999999999,1,2.13999999999942,8.32000000000062,0.120000000000005,0.320000000000618,6,10,6,7,4,12,3,10,0.0596168881939015,0.122397841171935,1
4,80,9.26000000000022,1,2.15999999999985,32.1600000000008,1.18000000000029,4.63999999999942,5,7,4,5,3,10,1,4,1,1,3
5,80,1.00000000000003,1,1,8.42000000000007,0.200000000000273,1.80000000000018,3,5,6,7,1,4,3,10,0.0117279124315872,0.120663068619892,1
6,80,10.3600000000001,1,1.18000000000029,12.76,0.119999999999891,1.22000000000025,4,9,7,11,3,8,4,12,0.02130570758405,0.109097918272938,1
7,80,1.00000000000006,1,1,10.3599999999999,0.119999999999891,1.17999999999847,3,2,5,2,1,4,2,7,0.174745895230649,0.280454895913647,2
8,80,8.88,1,2.12000000000012,31.6600000000003,0.219999999999345,1.5,4,5,5,6,2,6,2,6,0.111415168100078,0.262528912875867,2
